id,creation_date,ref,marque,statuts,types,contrat,"type ticket",pseudo
497613,"2023-09-21 08:29:21",TTLMP875SP51,TITAN,"La réparation a été effectuée avec succès",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
497694,"2023-09-21 13:20:59",TTB834LWM,TITAN,"La demande de pièces a été acceptée, vous recevrez votre colis sous les meilleurs délais à l'adresse indiquée.",NULL,KINGFISHER,"Demande de pièces dans le cadre de la garantie","Laurent P"
497879,"2023-09-22 08:33:25",SOM-KZL2-125T,MYPROJECT,"La station doit faire un diagnostic de la machine.",NULL,Kaufland,"Demande de Garantie",NULL
497925,"2023-09-22 11:56:48",TTLMP167SP51,TITAN,"La station doit faire un diagnostic de la machine.",NULL,"HG Divers","Demande de Garantie","Richard DANIELI"
497935,"2023-09-22 12:47:04","CSP2525 (PN2500-2A)",BRICOMARCHE,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BCM Johnwin","Demande de réparation en station.","Ghizlane "
498084,"2023-09-23 09:19:51",H98EMS,HELINGTON,"En attente de la réception de la machine réparée par le distributeur",NULL,"INVIVO Garantie","Prise en charge sous Garantie - Invivo","Florian MERCURI"
498421,"2023-09-25 07:56:44","BG OM 43 (SLN43F)",BESTGREEN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BCM Sunray","Demande de réparation en station.","Ghizlane "
498463,"2023-09-25 09:36:38",HFBE525T,HYUNDAI,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
498720,"2023-09-26 07:40:51",TT6MTP52,TITAN,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
498726,"2023-09-26 07:46:39",ELMP170SP51,ERBAUER,"La réparation a été effectuée avec succès",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
498734,"2023-09-26 07:54:08",HY50-A-2,HYUNDAI,"La prestation n'a pas pu aboutir",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
498740,"2023-09-26 07:59:05",HBTE800-A,HYUNDAI,"En attente de paiement du panier par le client",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
498749,"2023-09-26 08:16:09",HG5500-PL-A1,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","SWAP PL"
498759,"2023-09-26 08:36:27",TTLMP300SP40,TITAN,"Modération par un administrateur du devis proposé par la station",NULL,KINGFISHER,"Prise en charge Hors Garantie","05 - Agent Moteur BS/Honda"
498785,"2023-09-26 09:16:56",HPV20VALU,HYUNDAI,"La demande de pièces a été acceptée, vous recevrez votre colis sous les meilleurs délais à l'adresse indiquée.",NULL,"BUILDER / TCK","Demande de pièces dans le cadre de la garantie",Serge
498790,"2023-09-26 09:22:04",ELMP145SP46,ERBAUER,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
498853,"2023-09-26 12:25:27",HG2700-PL,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","SWAP PL"
498891,"2023-09-26 14:01:10",RAC3100-A,RACING,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Ghizlane "
499082,"2023-09-27 07:50:01",TT6MTP52,TITAN,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
499093,"2023-09-27 08:17:54",HTDT5075-A,HYUNDAI,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
499183,"2023-09-27 14:32:26",MLM1737,"MAC ALLISTER","La station établit son devis pour réparer la machine",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
499333,"2023-09-28 05:26:25",HCOMP100-2,HYUNDAI,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Ghizlane "
499357,"2023-09-28 07:23:59",RAC3100-B,RACING,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Ghizlane "
499363,"2023-09-28 07:43:58",S-AC-8-OUT,HAIER,"La station doit faire un diagnostic de la machine.",NULL,"Climatiseurs HAIER","Demande de Garantie",Roulio
499433,"2023-09-28 11:54:53",TTROP224,TITAN,"Le client a accepté le devis, la station peut commencer la réparation",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
499646,"2023-09-29 07:03:51",TTLMP170SP53,TITAN,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
499652,"2023-09-29 07:46:41",RACTHT264-1,RACING,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
499657,"2023-09-29 08:21:57",HPVD18L-B-1,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","SWAP PL"
499839,"2023-09-29 16:02:11",HTDT5070ES-A,HYUNDAI,"La station doit choisir comment s'occuper de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Jan
499952,"2023-09-30 14:32:04",CH-YFT2100-2500,MYPROJECT,"La station doit faire un diagnostic de la machine.",NULL,Kaufland,"Demande de Garantie",NULL
500220,"2023-10-02 05:24:53",HEL2530CAR,HYUNDAI,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
500272,"2023-10-02 08:04:24","Litchi 5000w",YUZU,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie","Clim Litchi","Demande de réparation en station.","Florian MERCURI"
500281,"2023-10-02 08:37:09",TTLMP475iSSP46-M&S-2,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
500317,"2023-10-02 09:31:50",ELMP145SP46,ERBAUER,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
500341,"2023-10-02 10:39:55",HTHT26,HYUNDAI,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
500344,"2023-10-02 10:56:48",HG2201-PL-A,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
500380,"2023-10-02 12:48:07",HM20V,HYUNDAI,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
500513,"2023-10-02 15:00:07",FPLM132-6,CASTORAMA,"La demande de pièces a été acceptée, vous recevrez votre colis sous les meilleurs délais à l'adresse indiquée.",NULL,KINGFISHER,"Demande de pièces dans le cadre de la garantie","Laurent P"
500583,"2023-10-03 05:20:58",M5MTP25-3,"MAC ALLISTER","Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","Ghizlane "
500622,"2023-10-03 07:33:42",MLMP300SP40,"MAC ALLISTER","La réparation a été effectuée avec succès",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
500646,"2023-10-03 08:33:46",FC3500PAP,FEIDER,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Florian MERCURI"
500716,"2023-10-03 11:36:58",HY1300MP,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
500752,"2023-10-03 13:53:14","BCU-0112  ANTHRACITE",BRICOMARCHE,"La station doit faire un diagnostic de la machine.",NULL,"BCM Better Choice","Demande de Garantie","01 - Agent Technique SWAP"
500757,"2023-10-03 14:03:59",TTLMP875SP51,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","Ghizlane "
500851,"2023-10-03 15:08:51",ELMP145SP46,ERBAUER,"La station établit son devis pour réparer la machine",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
501016,"2023-10-04 13:07:47",TTLMP675SP51-M&S,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
501141,"2023-10-04 19:42:11",TTLMP750SP53,TITAN,"DDG par la station, un admin doit modérer cette demande.","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
501219,"2023-10-05 07:20:08",ELMP145SP46,ERBAUER,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","Ghizlane "
501260,"2023-10-05 09:05:11",GL3AQ-39947-145,"NO NAME","La station doit faire un diagnostic de la machine.","Réparation sous garantie","BCM JIWEI ","Demande de réparation en station.",Serge
501272,"2023-10-05 09:41:30",TTLMP875SP56VS,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
501433,"2023-10-05 18:07:03",FRT7550M-1,FEIDER,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
501551,"2023-10-06 10:55:11",ELMP145SP46,ERBAUER,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","Ghizlane "
501566,"2023-10-06 12:14:09",JOZ-YFT57C-220V,MYPROJECT,"La station doit faire un diagnostic de la machine.",NULL,Kaufland,"Demande de Garantie",NULL
501580,"2023-10-06 12:45:16",RAC173PTIL-A,RACING,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
501684,"2023-10-06 14:54:57",HCOMBID65,HYUNDAI,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
501802,"2023-10-07 13:18:45",ELMP145SP46,ERBAUER,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
501937,"2023-10-08 10:31:54",HTDT561RP-A,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","Marc SWAP 82"
502096,"2023-10-09 09:19:56",TTLMP875SP51-ES,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","Ghizlane "
502143,"2023-10-09 12:21:24",TTLMP750SP53,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
502153,"2023-10-09 12:41:14",HG2201-PL-A,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
502158,"2023-10-09 12:58:01",RAY8TVLS,RAYCER,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Frédéric
502164,"2023-10-09 13:06:46",MTP150BS-2,"MAC ALLISTER","DDG par la station, un admin doit modérer cette demande.","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
502334,"2023-10-10 12:55:09",HDBTD50-AC,HYUNDAI,"Modération par un administrateur du devis proposé par la station",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
502363,"2023-10-10 15:32:34",HTDEN4640VT,HYUNDAI,"Une demande de garantie a été effectuée. La demande est en cours de modération par SWAP","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Richard DANIELI"
502393,"2023-10-11 08:52:38",PPLMP144SP46ES-2,"PERFORMANCE POWER","Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
502395,"2023-10-11 08:56:14",TTLMP675SP51-M&S,TITAN,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
502396,"2023-10-11 08:57:32",HTDT5075-A,HYUNDAI,"La station établit son devis pour réparer la machine",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
502398,"2023-10-11 09:01:21",TTLMP170SP53,TITAN,"En attente de paiement du panier par le client",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
502401,"2023-10-11 09:23:27",MLMP550SP46-M&S,"MAC ALLISTER","Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
502433,"2023-10-11 12:50:00",51000300,IKRA,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","Système U - IKRA GMBH","Demande de réparation en station.","Chloe T"
502436,"2023-10-11 12:53:11",RAC511BSRP-A,RACING,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Ghizlane "
502452,"2023-10-11 13:43:00",HDCBE1400,HYUNDAI,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
502457,"2023-10-11 13:48:50",HG4000-A,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","SWAP PL"
502520,"2023-10-11 22:22:16",JOZ-YFT57C-220V,MYPROJECT,"La station doit faire un diagnostic de la machine.",NULL,Kaufland,"Demande de Garantie",NULL
502605,"2023-10-12 07:37:11",600094149,GARDENSTAR,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Réparation sous garantie","Auchan retail international","Demande de réparation en station.","Anna R"
502651,"2023-10-12 09:04:52",HG2201-PL,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
502664,"2023-10-12 09:27:07",HG2700-1,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
502676,"2023-10-12 09:42:18",HG800-A,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
