id,creation_date,last_log_time,ref,id_arbo,marque,id_status,status,contrat,type_ticket,ticket_admin,read,distributeur,station,code_barres,date_achat,ticket_total_log_count,ticket_log_count_today
523482,21.02.2024,26.02.2024,TTLMP750SP53,62,TITAN,16,"La station doit faire un diagnostic de la machine.",KINGFISHER,"Demande de réparation en station.",Leonel,1,"BRICO DEPOT 2403 AUXERRE - PERRIGNY","ARNAUD MOTOCULTURE",5063022057471,2023-08-15,6,0
523485,21.02.2024,05.03.2024,FTREN220V,146,FEIDER,14,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"BRICO LECLERC SA LANGON DISTRIBUTION ","BRICO LECLERC SA LANGON DISTRIBUTION ",3661602025401,2024-02-08,11,1
523490,21.02.2024,01.03.2024,HTRT5850,35,HYUNDAI,2,"La station a fait une demande de réparation qui doit être modérée par un admin.","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP",1,"BUILDER SYSTEMS","REMY COURBIER",3661602050298,2024-02-12,14,0
523495,21.02.2024,21.02.2024,X-PRINT,1287,FEIDER,38,"Le client doit indiquer s'il accepte ou non le devis SWAP","BUILDER / TCK","Prise en charge Hors Garantie","01 - Agent Technique SWAP",1,"BRICO DEPOT DOUAI CANTIN 1744 ","SWAP 82",3661602049353,2023-10-27,4,0
523496,21.02.2024,29.02.2024,HTRTPRO5350-4-1,35,HYUNDAI,2,"La station a fait une demande de réparation qui doit être modérée par un admin.","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP",1,"BRICO DEPOT DOUAI CANTIN 1744 ","DEPOT LOC",3661602011466,2024-02-16,11,0
523504,21.02.2024,28.02.2024,CSP2525,39,BRICOMARCHE,16,"La station doit faire un diagnostic de la machine.","BCM Dunsch","Demande de réparation en station.","02 - Agent Administratif SWAP",0,"BAJICODO - BRICOMARCHE pdv20385","SWAP 82",3999991605301,2023-04-28,8,0
523508,21.02.2024,04.03.2024,HTRT65-2C,35,HYUNDAI,14,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"GERAL - BRICOMARCHE 20258","GERAL - BRICOMARCHE 20258",3661602049094,2023-12-16,11,0
523509,21.02.2024,27.02.2024,APW-VBT-130P(B),104,FOXTER,5,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","NHP FOXTER - LECLERC","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"E.Leclerc DINAN","E. LECLERC SERVICES OUEST",,2024-02-09,9,0
523513,21.02.2024,21.02.2024,HTREN40V-A,146,HYUNDAI,2,"La station a fait une demande de réparation qui doit être modérée par un admin.","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP",1,"ADVIN - BRICOMARCHE pdv20380","ADVIN - BRICOMARCHE pdv20380",3661602020444,2022-03-31,5,0
523516,21.02.2024,23.02.2024,HG1600i-A,108,HYUNDAI,7,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","BUILDER / TCK","Demande de réparation en station.","02 - Agent Administratif SWAP",1,"CASTORAMA OLIVET N°1456","JLH SERVICES",3661602028594,2023-03-24,12,0
